PROSODY,PROSODY_ID
مفعول فاعلات مفعولن,144
مفعول فاعلاتن مفاعیلن,146
مفعول فاعلاتن مفعول فاعلاتن ,147
مفعول فاعلاتن مفعول فاعلن,148
مفعول فاعلاتن مفعول فع,149
مفعول فاعلاتن مفعولن,150
مفعول فاعلن مفعول فاعلن,151
مفعول فعل مفعول فعل,152
مفعول مفاعلن فعولن ,154
مفعول مفاعلن مفاعلن فاع ,155
مفعول مفاعلن مفاعیلن ,156
مفعول مفاعلن مفعول مفاعلن,157
مفعول مفاعلن مفعولن,158
مفعول مفاعیل فاعلاتن,159
مفعول مفاعیل فاعلن,160
مفعول مفاعیل فعولن مفعولن,161
مفعول مفاعیل مفاعیل فعل ,162
مفعول مفاعیل مفاعیل فعولن ,163
مفعول مفاعیل مفتعلن,166
مفعول مفاعیلن فعل,167
مفعول مفاعیلن فعلن,168
مفعول مفاعیلن مفعول مفاعیلن ,169
مفعول مفتعلن مفعول مفتعلن,170
مفعول مفعول فاعلاتن,171
مفعول مفعولن مفاعیلن فعولن,173
مفعولن فع مفعولن فع,174
مفعولن مفعولن مفعولن مفعولن,176
